,date,count,tavg,tmin,tmax,prcp,wdir,wspd,pres
187,2019-08-08,69,67.1,59.0,77.0,0.0,179.28571428571428,7.0,1015.4
188,2019-08-09,7,70.0,61.0,81.0,0.0,179.5,7.5,1014.4
189,2019-08-10,67,71.4,64.0,80.1,0.0,179.71428571428572,8.9,1014.8
190,2019-08-11,229,71.2,61.0,84.9,0.0,179.92857142857142,9.1,1016.4
191,2019-08-12,535,73.4,62.1,89.1,0.0,180.14285714285714,7.1,1014.8
192,2019-08-13,221,74.7,62.1,90.0,0.0,180.3571428571429,5.8,1014.0
193,2019-08-14,101,80.1,66.0,97.0,0.0,180.57142857142856,5.65,1013.6
194,2019-08-15,439,82.8,68.0,98.1,0.0,180.78571428571428,5.5,1012.1
195,2019-08-16,132,77.5,66.9,91.9,0.0,181.0,7.5,1009.9
196,2019-08-17,119,69.1,60.1,82.9,0.0,181.2142857142857,8.025,1009.5
197,2019-08-18,248,67.6,60.1,78.1,0.0,181.42857142857144,8.55,1010.9
198,2019-08-19,84,66.0,60.1,78.1,0.0,181.64285714285717,9.075,1013.5
199,2019-08-20,76,66.7,61.0,75.9,0.0,181.8571428571429,9.6,1016.1
200,2019-08-21,61,70.7,59.0,84.0,0.0,182.07142857142856,6.4,1014.0
201,2019-08-22,61,74.5,66.0,87.1,0.0,182.28571428571428,6.7,1008.6
202,2019-08-23,68,71.2,64.0,82.9,0.0,182.5,7.1,1008.4
203,2019-08-24,264,70.0,63.0,79.0,0.0,182.7142857142857,7.5,1012.8
204,2019-08-25,66,72.0,62.1,82.9,0.0,182.92857142857144,6.8,1014.6
205,2019-08-26,68,73.2,61.0,90.0,0.0,183.14285714285717,6.5,1012.0
206,2019-08-27,58,72.5,62.1,86.0,0.0,183.3571428571429,6.3,1010.0
207,2019-08-28,139,71.6,64.05,82.5,0.0,183.57142857142856,7.300000000000001,1013.25
208,2019-08-29,18,70.7,66.0,79.0,0.0,183.78571428571428,8.3,1016.5
209,2019-08-30,93,69.4,61.0,80.1,0.0,184.0,5.8,1014.95
210,2019-08-31,238,72.3,60.1,90.0,0.0,184.2142857142857,4.8,1013.4
211,2019-09-01,131,73.8,63.0,87.1,0.0,184.42857142857144,6.1,1012.8
212,2019-09-02,195,70.3,63.0,80.1,0.0,184.64285714285717,7.5,1014.2
213,2019-09-03,68,68.4,60.1,80.1,0.0,184.8571428571429,7.0,1014.8
214,2019-09-04,190,69.1,61.0,84.0,0.0,185.07142857142856,6.7,1011.9
215,2019-09-05,57,66.0,61.0,75.0,0.0,185.28571428571428,8.8,1015.3
216,2019-09-06,103,67.1,61.0,75.9,0.0,185.5,7.8,1018.1
217,2019-09-07,137,65.3,60.1,71.1,0.0,185.7142857142857,8.6,1017.5
218,2019-09-08,88,66.7,57.0,75.9,0.0,185.92857142857144,7.3,1015.7
219,2019-09-09,80,66.7,57.0,78.1,0.0,186.14285714285717,7.6,1014.0
220,2019-09-10,153,66.4,57.0,75.9,0.0,186.3571428571429,6.7,1013.2
221,2019-09-11,82,70.55000000000001,58.55,83.45,0.0,186.57142857142856,6.1,1014.45
222,2019-09-12,313,74.7,60.1,91.0,0.0,186.78571428571428,5.5,1015.7
223,2019-09-13,71,78.6,63.0,96.1,0.0,187.0,5.3,1014.3
224,2019-09-14,36,73.0,63.0,86.0,0.0,187.2142857142857,6.9,1012.9
225,2019-09-15,76,67.3,59.0,77.0,0.0,187.42857142857144,7.8,1012.1
226,2019-09-16,77,67.1,62.1,73.9,0.0,187.64285714285717,8.6,1013.9
227,2019-09-17,85,65.8,57.0,77.0,0.0,187.8571428571429,7.0,1016.6
228,2019-09-18,254,66.0,59.0,75.9,0.0,188.07142857142856,7.3,1014.3
229,2019-09-19,121,65.8,57.0,78.1,0.0,188.28571428571428,6.4,1013.6
230,2019-09-20,51,69.1,55.9,82.9,0.0,188.5,6.0,1013.4
231,2019-09-21,114,71.6,59.0,86.0,0.0,188.7142857142857,5.7,1013.1
232,2019-09-22,98,68.9,59.0,81.0,0.0,188.92857142857144,5.3,1012.8
233,2019-09-23,51,70.0,60.1,82.9,0.0,189.14285714285717,6.5,1013.9
234,2019-09-24,49,76.6,61.0,95.0,0.0,189.3571428571429,5.2,1013.6
235,2019-09-25,18,80.1,66.0,98.1,0.0,189.57142857142856,4.3,1007.8
236,2019-09-26,46,73.2,66.9,82.0,0.0,189.78571428571428,13.2,1009.95
237,2019-09-27,25,68.0,59.0,75.9,0.0,190.0,10.9,1012.1
238,2019-09-28,199,60.4,54.0,69.1,0.0,189.203125,10.4,1008.9
239,2019-09-29,139,58.5,48.9,68.0,0.0,188.40625,7.3,1013.0
240,2019-09-30,81,58.5,52.0,66.9,0.0,187.609375,8.4,1014.9
241,2019-10-01,3,57.9,46.9,69.1,0.0,186.8125,6.1,1015.0
242,2019-10-02,9,60.8,48.9,75.9,0.0,186.015625,6.3,1015.9
243,2019-10-03,131,59.5,48.9,72.0,0.0,185.21875,5.7,1015.8
244,2019-10-04,5,59.7,48.0,75.0,0.0,184.421875,6.0,1019.5
245,2019-10-05,43,63.5,50.0,80.1,0.0,183.625,5.0,1018.7
246,2019-10-06,25,68.0,52.0,84.9,0.0,182.828125,3.0,1016.0
247,2019-10-07,53,70.5,57.9,87.1,0.0,182.03125,4.3,1014.0
248,2019-10-08,23,67.8,55.0,86.0,0.0,181.234375,4.5,1011.2
249,2019-10-09,11,62.8,55.0,73.0,0.0,180.4375,7.3,1011.9
250,2019-10-10,100,65.7,55.0,78.1,0.0,179.640625,5.8,1014.3
251,2019-10-11,25,63.7,50.0,80.1,0.0,178.84375,3.4,1015.2
252,2019-10-12,65,63.3,48.0,79.0,0.0,178.046875,4.7,1012.3
253,2019-10-13,14,61.0,50.0,75.0,0.0,177.25,4.7,1010.9
254,2019-10-14,59,58.6,46.9,73.9,0.0,176.453125,4.4,1014.3
255,2019-10-15,53,58.6,51.1,71.1,0.0,175.65625,4.2,1017.7
256,2019-10-16,85,58.8,50.0,69.1,0.0,174.859375,3.9,1015.1
257,2019-10-17,160,61.7,57.0,69.1,0.0,174.0625,10.7,1014.2
258,2019-10-18,92,59.0,48.0,70.0,0.0,173.265625,5.3,1018.1
259,2019-10-19,44,58.6,48.0,73.0,0.0,172.46875,5.3,1018.6
260,2019-10-20,17,61.7,53.1,73.9,0.0,171.671875,6.0,1019.5
261,2019-10-21,99,65.8,53.1,82.9,0.0,170.875,4.8,1020.3
262,2019-10-22,11,69.1,54.0,84.9,0.0,170.078125,4.9,1020.0
263,2019-10-25,14,70.2,57.0,88.0,0.0,167.6875,4.4,1017.6
264,2019-10-26,11,64.9,55.0,82.0,0.0,166.890625,4.6,1010.6
265,2019-10-27,2,62.1,53.1,71.1,0.0,166.09375,11.7,1010.7
266,2019-10-28,7,58.6,46.0,71.1,0.0,165.296875,5.2,1016.7
267,2019-10-29,17,56.7,44.1,73.0,0.0,164.5,5.2,1014.2
268,2019-10-30,115,56.7,44.1,70.0,0.0,163.703125,3.7,1019.8
269,2019-10-31,14,56.3,43.0,73.0,0.0,162.90625,3.8,1022.4
270,2019-11-01,13,57.0,43.0,73.9,0.0,162.109375,4.0,1020.4
271,2019-11-02,8,57.6,42.1,75.9,0.0,161.3125,2.7,1019.0
272,2019-11-03,35,59.0,45.0,78.1,0.0,160.515625,2.9,1015.6
273,2019-11-04,192,59.0,48.0,73.9,0.0,159.71875,2.9,1015.2
274,2019-11-05,30,58.5,46.9,72.0,0.0,158.921875,3.0,1016.7
275,2019-11-06,30,56.3,50.0,66.0,0.0,158.125,3.0,1016.4
276,2019-11-07,76,55.6,50.0,66.0,0.0,157.328125,3.2,1019.1
277,2019-11-08,29,56.8,52.0,68.0,0.0,156.53125,2.9,1021.7
278,2019-11-10,134,57.0,51.1,69.1,0.0,154.9375,3.5,1017.6
279,2019-11-11,300,61.2,48.0,77.0,0.0,154.140625,1.6,1016.9
280,2019-11-12,70,61.9,51.1,73.9,0.0,153.34375,2.2,1017.1
281,2019-11-13,50,57.6,51.1,68.0,0.0,152.546875,2.8,1017.75
282,2019-11-14,61,58.8,53.1,64.0,0.0,151.75,7.7,1018.4
283,2019-11-15,59,60.1,57.0,66.9,0.0,150.953125,7.2,1021.6
284,2019-11-16,35,60.3,55.9,70.0,0.0,150.15625,2.2,1020.0
285,2019-11-17,145,60.3,48.9,73.9,0.0,149.359375,1.6,1017.9
286,2019-11-18,86,60.3,48.9,73.9,0.0,148.5625,2.9,1013.3
287,2019-11-19,111,57.6,53.1,66.0,0.0,147.765625,7.3,1007.4
288,2019-11-20,181,57.2,48.9,68.0,0.0,146.96875,5.8,1000.8
289,2019-11-21,275,54.7,45.0,66.0,0.0,146.171875,5.2,1011.2
290,2019-11-22,46,54.7,46.0,66.0,0.0,145.375,3.7,1020.9
291,2019-11-23,110,54.9,44.1,68.0,0.0,144.578125,3.0,1022.5
292,2019-11-24,61,54.7,44.1,69.1,0.0,143.78125,4.1,1020.6
293,2019-11-25,197,52.3,42.1,64.0,0.0,142.984375,9.6,1017.9
294,2019-11-26,64,48.2,41.0,55.0,0.0,142.1875,8.2,1009.45
295,2019-11-27,134,45.7,43.0,50.0,0.0,141.390625,6.1,1001.0
296,2019-11-28,125,44.1,37.0,50.0,0.0,140.59375,5.3,1002.3
297,2019-11-29,58,44.8,36.0,54.0,0.0,139.796875,4.9,1010.3
298,2019-11-30,120,47.8,42.1,52.0,0.0,139.0,19.2,1014.2
299,2019-12-01,69,54.1,52.0,55.9,0.0,138.0,25.6,1011.8
300,2019-12-02,214,56.1,53.1,59.0,0.0,142.5,14.3,1013.075
301,2019-12-03,142,54.7,48.0,61.0,0.0,147.0,1.7,1014.35
302,2019-12-04,21,55.4,53.1,59.0,0.0,151.5,3.3,1015.625
303,2019-12-05,86,55.8,46.9,62.1,0.0,156.0,3.4,1016.9
304,2019-12-06,34,59.7,53.1,66.9,0.0,160.5,12.7,1015.6
305,2019-12-07,35,60.1,57.0,64.9,0.0,165.0,12.0,1014.3
306,2019-12-08,101,56.7,54.0,61.0,0.0,163.0,5.6,1016.4
307,2019-12-09,67,54.5,52.0,57.9,0.0,161.0,4.3,1019.85
308,2019-12-10,128,55.0,48.9,62.1,0.0,159.0,4.0,1023.3
309,2019-12-11,261,58.6,54.0,63.0,0.0,157.0,9.2,1022.8
310,2019-12-12,103,62.1,59.0,68.0,0.0,155.14285714285714,7.3,1024.6
311,2019-12-13,203,59.2,55.9,62.1,0.0,153.28571428571428,4.7,1021.5
312,2019-12-14,106,53.4,48.9,57.9,0.0,151.42857142857142,8.0,1018.4
